0, 54, 53, 52, 52, 49
5, 53, 53, 54, 54, 55
10, 54, 52, 53, 53, 54
15, 54, 55, 54, 54, 54
20, 321, 160, 162, 162, 54
25, 256, 54, 271, 54, 54
30, 51, 54, 54, 55, 55
35, 54, 54, 55, 53, 53
40, 52, 54, 54, 54, 55
45, 54, 350, 54, 54, 52
50, 53, 54, 53, 53, 53
55, 53, 53, 53, 53, 52
60, 52, 52, 52, 52, 52
65, 50, 54, 54, 53, 53
70, 53, 54, 53, 54, 312
75, 54, 600, 3355, 51, 3340
80, 50, 159, 162, 161, 162
85, 147, 163, 160, 163, 160
90, 146, 505, 162, 161, 161
95, 146, 505, 161, 161, 162
100, 146, 504, 161, 162, 163
105, 145, 162, 161, 162, 162
110, 145, 163, 162, 161, 162
115, 144, 164, 161, 3336, 3319
120, 316, 163, 161, 1189, 3349
125, 46, 495, 162, 162, 162
130, 146, 162, 162, 162, 162
135, 146, 163, 161, 161, 161
140, 146, 162, 162, 161, 162
145, 145, 162, 161, 161, 162
150, 146, 163, 161, 162, 162
155, 145, 163, 162, 160, 162
160, 145, 162, 162, 162, 162
165, 146, 162, 161, 163, 161
170, 145, 163, 162, 161, 162
175, 145, 163, 162, 162, 161
180, 146, 163, 161, 162, 161
